"Address","lon","lat","nr_5km","dist_1","area_voronoi","eventDate"
"68 Goldsmith St Cnr Bourke St, Goulburn NSW 2580",149.719228,-34.7505216,17,216.688329880733,24103309.570982,"2016-6-1"
"431 The Entrance Rd, Long Jetty NSW 2261",151.4827508,-33.3601584,9,230.688177094579,2257421.62714404,"2016-6-1"
"Kent St Cnr Kathleen St, Tamworth NSW 2340",150.913092,-31.1039919,19,1003.79372897821,1755565.39586152,"2016-6-1"
"Cnr Pennant Hills Rd & Parkes St, Thornleigh NSW 2120",151.0527333,-33.7767267,28,142.633859846258,2112881.72868967,"2016-6-1"
"712 Pennant Hills Road, Carlingford NSW 2118",151.0474278,-33.7635765,21,984.379729848399,1732150.3152796,"2016-6-1"
"435 Church Street, Parramatta NSW 2150",151.005607,-33.804991,47,996.603549902219,2845517.45025125,"2016-6-1"
"Cnr George St and Burdett St, Hornsby NSW 2077",151.0993995,-33.7023572,17,537.612599248412,3107719.39165926,"2016-6-1"
"175 Richmond Road, Blacktown NSW 2148",150.8917648,-33.7554983,32,1356.65307363337,3309697.03981561,"2016-6-1"
"363 Vardys Road, Kings Park NSW 2148",150.9068804,-33.7466,30,971.108906428917,2604671.0144901,"2016-6-1"
"180 Reservoir Road, Arndell Park NSW 2148",150.8971454,-33.796756,24,735.729601550484,2696727.38570946,"2016-6-1"
"62 Walters Road, Blacktown NSW 2148",150.8949673,-33.7759669,31,895.039945756413,2394815.77426752,"2016-6-1"
"369 Pacific Highway, Heatherbrae NSW 2324",151.7249819,-32.7911326,6,1050.24538221975,12651607.0432582,"2016-6-1"
"662 Main Rd Cnr Turnbull St, Edgeworth NSW 2285",151.627805,-32.9255818,15,652.248917085363,2362695.68674579,"2016-6-1"
"148 Bridges Rd, New Lambton NSW 2305",151.7137745,-32.9327832,35,440.943165226732,1943048.25097644,"2016-6-1"
"67 Shepherds Dr Cnr Macquarie Dr, Cherrybrook NSW 2126",151.044013,-33.7209745,18,2310.48190961384,9565884.53698462,"2016-6-1"
"80-84 Campbell Street, Moruya NSW 2537",150.0823744,-35.9120161,4,97.7709540865281,3323281.97691321,"2016-6-1"
"86 Cartwright Ave Cnr Woodward Cres, Miller NSW 2168",150.8827692,-33.9188409,43,1045.74818451113,2997279.42824604,"2016-6-1"
"17 Great Western Hwy, Kelso NSW 2795",149.602254,-33.4186283,13,359.426322350315,6008234.70372666,"2016-6-1"
"4467 Gywdir Highway, Jackadgery NSW 2460",152.5515656,-29.5768518,1,37129.9944835361,3734888656.37377,"2016-6-1"
"360 Flushcombe Road, Prospect NSW 2148",150.9050808,-33.7964323,35,113.394793760866,4192377.13008109,"2016-6-1"
"1004 Botany Rd., Mascot NSW 2020",151.1936435,-33.9327122,53,501.233130322394,3921785.9790448,"2016-6-1"
"315 Auburn St Cnr Bradley St, Goulburn NSW 2580",149.7233715,-34.7493998,17,399.288519630485,2541679.99418765,"2016-6-1"
"13-15 Pacific Hwy Cnr Costa Ave, Charmhaven NSW 2263",151.4974539,-33.2411496,8,1046.15664445557,8616975.09146738,"2016-6-1"
"436 Wagga Rd Cnr Dick Rd, Lavington NSW 2641",146.9702512,-36.0351863,8,102.542221611724,56175071.8911617,"2016-6-1"
"41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113",151.1312369,-33.7913919,38,512.087386631357,2628335.67787159,"2016-6-1"
"6 Rudd Rd, Leumeah NSW 2560",150.8299662,-34.0539028,21,1218.03552246328,4602276.88507819,"2016-6-1"
"Cobra St Cnr Brisbane St, Dubbo NSW 2830",148.6146933,-32.2550833,14,195.759519275748,1042166.70185301,"2016-6-1"
"79 Union Rd, Albury North NSW 2640",146.948833,-36.0549231,15,1179.95255694043,5486157.76435477,"2016-6-1"
"117 Seven Hills Rd, Baulkham Hills NSW 2153",150.9750732,-33.7613952,25,108.134449360761,2812652.41488683,"2016-6-1"
"736-742 Main Road, Edgeworth NSW 2285",151.6196902,-32.9245658,12,179.484548190835,802630.878371447,"2016-6-1"
"74 Bentinck Street (Cnr Russell), Bathurst NSW 2795",149.5817694,-33.4203497,12,478.544385820533,1209240.88132381,"2016-6-1"
"64-68 Sydney Rd, Kelso NSW 2795",149.606112,-33.4184418,13,166.885492589788,8666005.06709719,"2016-6-1"
"503 Lake Road, Argenton NSW 2284",151.6307282,-32.9351936,19,1100.48090243652,2357600.04225671,"2016-6-1"
