"Address","Address_geo","lon","lat"
"289 Cessnock Road, Abermain NSW 2326","289 Cessnock Road, Abermain NSW 2326 Australia",151.4260359,-32.8112882
"34 Wharf St (Cnr Frances St), Tweed Heads NSW 2485","34 Wharf St , Tweed Heads NSW 2485 Australia",153.5432378,-28.1732793
"397 Pacific Highway, Belmont NSW 2280","397 Pacific Highway, Belmont NSW 2280 Australia",151.6611819,-33.0327604
"71 Minjungbal Dr, Tweed Heads South NSW 2486","71 Minjungbal Dr, Tweed Heads South NSW 2486 Australia",153.542089,-28.1946654
"41 - 43 Third Avenue, Blacktown NSW 2148","41 - 43 Third Avenue, Blacktown NSW 2148 Australia",150.9079574,-33.7649347
"44 Foster St, Lake Cargelligo NSW 2672","44 Foster St, Lake Cargelligo NSW 2672 Australia",146.3700727,-33.299256
"27 Woodville Rd, Granville NSW 2142","27 Woodville Rd, Granville NSW 2142 Australia",151.0040802,-33.8309899
"2-4 Marsh St, Armidale NSW 2350","2-4 Marsh St, Armidale NSW 2350 Australia",151.6726612,-30.5032837
"142 Marsh St Cnr Barney St, Armidale NSW 2350","142 Marsh St  Armidale NSW 2350 Australia",151.6676611,-30.5168864
"New England Highway, Armidale NSW 2350","New England Highway, Armidale NSW 2350 Australia",151.6391224,-30.5043366
"238 Cumberland Rd, Auburn NSW 2144","238 Cumberland Rd, Auburn NSW 2144 Australia",151.023111,-33.8641186
"7-9 Newbridge Road, Chipping Norton NSW 2170","7-9 Newbridge Road, Chipping Norton NSW 2170 Australia",150.9772006,-33.9283919
"940 Pittwater Road & Hawkesbury Avenue, Dee Why NSW 2099","940 Pittwater Road & Hawkesbury Avenue, Dee Why NSW 2099 Australia",151.2901723,-33.7491481
"88 - 92 Clinton Street, Goulburn NSW 2580","88 - 92 Clinton Street, Goulburn NSW 2580 Australia",149.7122908,-34.7565393
"39-41 Port Stephens Rd (Cnr Bourke St), Raymond Terrace NSW 2324","39-41 Port Stephens Rd , Raymond Terrace NSW 2324 Australia",151.7441304,-32.7611857
"145 - 147 Hoskins Street, Temora NSW 2666","145 - 147 Hoskins Street, Temora NSW 2666 Australia",147.5337162,-34.4457095
"186 Pacific Highway, Tuggerah NSW 2259","186 Pacific Highway, Tuggerah NSW 2259 Australia",151.4223958,-33.2941545
"24-26 Gavenlock Road, Tuggerah NSW 2259","24-26 Gavenlock Road, Tuggerah NSW 2259 Australia",151.4148602,-33.3091958
"693 Old Princes Highway (Retank Reopens 23 Jun'16), Sutherland NSW 2232","693 Old Princes Highway , Sutherland NSW 2232 Australia",151.0589016,-34.0297891
"53 Durham St, Bathurst NSW 2795","53 Durham St, Bathurst NSW 2795 Australia",149.5848871,-33.4168435
"91-93 Elsham Ave Leewood Estate, Orange NSW 2800","91-93 Elsham Ave Leewood Estate, Orange NSW 2800 Australia",149.101051,-33.285294
"68 Goldsmith St Cnr Bourke St, Goulburn NSW 2580","68 Goldsmith St  Goulburn NSW 2580 Australia",149.719228,-34.7505216
"431 The Entrance Rd, Long Jetty NSW 2261","431 The Entrance Rd, Long Jetty NSW 2261 Australia",151.4827508,-33.3601584
"Kent St Cnr Kathleen St, Tamworth NSW 2340","Kent St  Tamworth NSW 2340 Australia",150.913092,-31.1039919
"Cnr Pennant Hills Rd & Parkes St, Thornleigh NSW 2120","Cnr Pennant Hills Rd & Parkes St, Thornleigh NSW 2120 Australia",151.0527333,-33.7767267
"712 Pennant Hills Road, Carlingford NSW 2118","712 Pennant Hills Road, Carlingford NSW 2118 Australia",151.0474278,-33.7635765
"435 Church Street, Parramatta NSW 2150","435 Church Street, Parramatta NSW 2150 Australia",151.005607,-33.804991
"Cnr George St and Burdett St, Hornsby NSW 2077","Cnr George St and Burdett St, Hornsby NSW 2077 Australia",151.0993995,-33.7023572
"175 Richmond Road, Blacktown NSW 2148","175 Richmond Road, Blacktown NSW 2148 Australia",150.8917648,-33.7554983
"363 Vardys Road, Kings Park NSW 2148","363 Vardys Road, Kings Park NSW 2148 Australia",150.9068804,-33.7466
"180 Reservoir Road, Arndell Park NSW 2148","180 Reservoir Road, Arndell Park NSW 2148 Australia",150.8971454,-33.796756
"62 Walters Road, Blacktown NSW 2148","62 Walters Road, Blacktown NSW 2148 Australia",150.8949673,-33.7759669
"369 Pacific Highway, Heatherbrae NSW 2324","369 Pacific Highway, Heatherbrae NSW 2324 Australia",151.7249819,-32.7911326
"662 Main Rd Cnr Turnbull St, Edgeworth NSW 2285","662 Main Rd  Edgeworth NSW 2285 Australia",151.627805,-32.9255818
"148 Bridges Rd, New Lambton NSW 2305","148 Bridges Rd, New Lambton NSW 2305 Australia",151.7137745,-32.9327832
"67 Shepherds Dr Cnr Macquarie Dr, Cherrybrook NSW 2126","67 Shepherds Dr  Cherrybrook NSW 2126 Australia",151.044013,-33.7209745
"80-84 Campbell Street, Moruya NSW 2537","80-84 Campbell Street, Moruya NSW 2537 Australia",150.0823744,-35.9120161
"86 Cartwright Ave Cnr Woodward Cres, Miller NSW 2168","86 Cartwright Ave  Miller NSW 2168 Australia",150.8827692,-33.9188409
"17 Great Western Hwy, Kelso NSW 2795","17 Great Western Hwy, Kelso NSW 2795 Australia",149.602254,-33.4186283
"4467 Gywdir Highway, Jackadgery NSW 2460","4467 Gywdir Highway, Jackadgery NSW 2460 Australia",152.5515656,-29.5768518
"360 Flushcombe Road, Prospect NSW 2148","360 Flushcombe Road, Prospect NSW 2148 Australia",150.9050808,-33.7964323
"1004 Botany Rd., Mascot NSW 2020","1004 Botany Rd., Mascot NSW 2020 Australia",151.1936435,-33.9327122
"315 Auburn St Cnr Bradley St, Goulburn NSW 2580","315 Auburn St  Goulburn NSW 2580 Australia",149.7233715,-34.7493998
"13-15 Pacific Hwy Cnr Costa Ave, Charmhaven NSW 2263","13-15 Pacific Hwy  Charmhaven NSW 2263 Australia",151.4974539,-33.2411496
"436 Wagga Rd Cnr Dick Rd, Lavington NSW 2641","436 Wagga Rd  Lavington NSW 2641 Australia",146.9702512,-36.0351863
"41-43 Epping Rd Cnr Wicks Rd, North Ryde NSW 2113","41-43 Epping Rd  North Ryde NSW 2113 Australia",151.1312369,-33.7913919
"6 Rudd Rd, Leumeah NSW 2560","6 Rudd Rd, Leumeah NSW 2560 Australia",150.8299662,-34.0539028
"Cobra St Cnr Brisbane St, Dubbo NSW 2830","Cobra St  Dubbo NSW 2830 Australia",148.6146933,-32.2550833
"79 Union Rd, Albury North NSW 2640","79 Union Rd, Albury North NSW 2640 Australia",146.948833,-36.0549231
"117 Seven Hills Rd, Baulkham Hills NSW 2153","117 Seven Hills Rd, Baulkham Hills NSW 2153 Australia",150.9750732,-33.7613952
"736-742 Main Road, Edgeworth NSW 2285","736-742 Main Road, Edgeworth NSW 2285 Australia",151.6196902,-32.9245658
"74 Bentinck Street (Cnr Russell), Bathurst NSW 2795","74 Bentinck Street , Bathurst NSW 2795 Australia",149.5817694,-33.4203497
"64-68 Sydney Rd, Kelso NSW 2795","64-68 Sydney Rd, Kelso NSW 2795 Australia",149.606112,-33.4184418
"503 Lake Road, Argenton NSW 2284","503 Lake Road, Argenton NSW 2284 Australia",151.6307282,-32.9351936
"745 Main Road, Edgeworth NSW 2285","745 Main Road, Edgeworth NSW 2285 Australia",151.6212363,-32.9236072
"40 Richardson Rd, Raymond Terrace NSW 2324","40 Richardson Rd, Raymond Terrace NSW 2324 Australia",151.7628779,-32.7559273
"90-94 Queen Street (Cnr Broughton Street), Campbelltown NSW 2560","90-94 Queen Street , Campbelltown NSW 2560 Australia",150.8173509,-34.0636095
