"Address","lat","lon","remoteness","dist_to_coast"
"164 Mona Vale Rd, St Ives NSW 2075",-33.7307893,151.1570708,0,0.1360147
"13/3 Lancester St, Ingleburn NSW 2565",-33.9901729,150.8677304,0,0.2580698
"174 Woodward Street, Orange NSW 2800",-33.2801612,149.0872602,1.1788858,2.108673
"246 Princes Hwy, Bomaderry NSW 2541",-34.8382583,150.5957426,0.47051477,0.1529706
"770 Richmond Road, Berkshire Park NSW 2765",-33.6664351,150.8011898,0.08,0.4545327
"96 Wicks Road, North Ryde NSW 2113",-33.794141,151.1267945,0,0.1414213
"48-50 Blaxland Road, Campbelltown NSW 2560",-34.0611191,150.8119636,0,0.2404163
"New England Highway, ARMIDALE NSW 2350",-30.5043366,151.6391224,2.1263697,1.364734
"89-93 Marsh St, Armidale NSW 2350",-30.512903,151.6696047,2.13,1.333604
"102 Heathcote Road, Moorebank NSW 2170",-33.9382311,150.9396459,0,0.2024846
"287 Main Street, Toukley NSW 2263",-33.2650035,151.5460157,0.1,0.02
"55 Pacific Highway, Ulmarra NSW 2462",-29.6311872,153.0294061,2.3012156,0.284605
"11 Macquarie Street, Windsor NSW 2756",-33.6056601,150.8233241,0.19305876,0.4310452
"133-139 Pettwater Rd, Manly NSW 2095",-33.7903441,151.2848154,0,0.01
"55 Central Coast Highway, Gosford West NSW 2250",-33.4269809,151.3300239,0.1,0.1004988
"461 Hume Hwy, Casula NSW 2170",-33.9408828,150.9118174,0,0.2184033
"14456 Newell Highway, Edgeroi NSW 2390",-30.1137781,149.7997641,5.920196,3.244102
"95 Campbell St, Moruya NSW 2537",-35.9128361,150.0819779,2.01,0.07
"99 Market Street, Balranald NSW 2715",-34.6394509,143.5635145,4.6572537,3.472765
"501-509 Bells Line Of Road, Kurmond NSW 2757",-33.5509154,150.6911019,0.40566525,0.5600893
"84 Patton Street, Broken Hill NSW 2880",-31.9813867,141.4586146,3.23,3.589499
"21 Barsden St Cnr Cawdor Rd, Camden NSW 2570",-34.0581183,150.6914516,0,0.3383785
"Corner Richmond Road & Dublin Street, Plumpton NSW 2761",-37.8194848,145.0065616,0,0.06403124
"Bungendore Rd, Queanbeyan NSW 2620",-35.3479701,149.2452522,0,1.01951
"1413 Elizabeth Drive, Kemps Creek NSW 2178",-33.8789556,150.7951152,0.43243274,0.354683
"Caltex 3723 Sturt Hwy, GUMLY GUMLY NSW 2652",-35.1355798,147.4424243,1.1528791,2.789265
"84 Cowabbie Street, Coolamon NSW 2701",-34.816751,147.1997013,1.932887,3.132092
"2 Wellington Street, Baradine NSW 2396",-30.9502807,149.068667,6.07,3.340688
"203 Charlotte Bay St, CHARLOTTE BAY NSW 2428",-32.3431562,152.5146912,2.2336774,0.02236068
"127-129 Marion St, Leichhardt NSW 2040",-33.883907,151.1507412,0,0.07
"16 Coonamble Street, Gulargambone NSW 2828",-31.3316238,148.4725192,5.9440055,3.563888
"123-125 Caswell Street, Peak Hill NSW 2869",-32.7269031,148.1925458,3.1884847,3.159272
"629 Pacific Hwy, Kempsey South NSW 2440",-31.1286894,152.8286098,2.3620796,0.1552417
"300 Sandgate Road, Shortland NSW 2307",-32.8861683,151.6955022,0,0.08485281
"111 Berowra Waters Rd, Berowra NSW 2081",-33.6153602,151.1418791,0,0.117047
"27-29 Gunnedah Road, Tamworth NSW 2340",-31.0964775,150.9058326,1.7261969,1.885338
"677 Freemans Drive, Cooranbong NSW 2265",-33.0696568,151.4636659,0.37,0.1878829
"25-33 Erskineville Road, ERSKINEVILLE NSW 2043",-33.8987459,151.1823526,0,0.06
"138-142 Princes Highway, ALBION PARK RAIL NSW 2527",-34.5589879,150.7935812,0.11,0.08
"3 Maria Street, Blayney NSW 2799",-33.5260968,149.2581496,1.7516063,1.847431
"275 Pacific Highway, Hornsby NSW 2077",-33.690896,151.0995543,0,0.2
"44 Hume Highway & Knight Street, Lansvale South NSW 2166",-33.8929219,150.9643816,0,0.1941649
"Northside Liberty 62 Bridge Street, North Lismore NSW 2480",-28.802992,153.275354,0.56,0.2720294
