"Record ID","Catalog Number","Match Taxon Concept GUID","Scientific Name","Vernacular Name","Matched Scientific Name","Taxon Rank - matched","Vernacular Name - matched","Kingdom - matched","Phylum - matched","Class - matched","Order - matched","Family - matched","Genus - matched","Species - matched","Subspecies - matched","Institution Code","Collection Code","locality","Latitude - original","Longitude - original","geodetic Datum","Latitude - processed","Longitude - processed","Coordinate Uncertainty in Metres - parsed","Country - parsed","Collector","Year - parsed","Month - parsed","Event Date - parsed","Basis Of Record - original","Basis Of Record - processed","Sex","Taxon identification issue","Location Quality","Data Resource ID","Remoteness index","Distance - to coast","Occurrence status assumed to be present","Country inferred from coordinates","First of the month","Geodetic datum assumed WGS84","Name not recognised"
"04cd8bd8-bb14-4ddc-af13-47ed11424160","","","","","","","","","","","","","","","","","","107 Anderson Drive, Tarro NSW 2322","-32.8076696","151.6588462","","-32.8076696","151.6588462","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.02","0.1612452","true","true","true","true","true"
"04dd5112-fa6f-4666-b8e5-1c47ad264329","","","","","","","","","","","","","","","","","","129 Lagoon Street, Goulburn NSW 2580","-34.7460856","149.7327433","","-34.7460856","149.7327433","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.59","0.9220086","true","true","true","true","true"
"0512ac70-7cf4-42fc-9ae1-adca49b22c45","","","","","","","","","","","","","","","","","","153 Elizabeth Dr, Vincentia NSW 2540","-35.0701907","150.6756286","","-35.0701907","150.6756286","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","","0.01414214","true","true","true","true","true"
"052f182f-3c2f-4873-a56c-f8980ab2f3dd","","","","","","","","","","","","","","","","","","78 Great Western Hwy Cnr Ross St, Glenbrook NSW 2773","-33.7653915","150.6214483","","-33.7653915","150.6214483","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.554617","true","true","true","true","true"
"0583c913-29f8-4e2e-8216-8a2f2fc80440","","","","","","","","","","","","","","","","","","82 Mayne Street, Gulgong NSW 2852","-32.3628881","149.5350289","","-32.3628881","149.5350289","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","2.56","2.097236","true","true","true","true","true"
"05b2cb3a-b798-4b23-aad6-63aa808cafd0","","","","","","","","","","","","","","","","","","Tweed Valley Way, CHINDERAH NSW 2487","-28.2609554","153.5213268","","-28.2609554","153.5213268","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.052028477","0.05","true","true","true","true","true"
"05e78341-4776-4630-8de0-351f21cfe858","","","","","","","","","","","","","","","","","","24-42 King Georges Road, Wiley Park NSW 2195","-33.9194768","151.0668013","","-33.9194768","151.0668013","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.09848858","true","true","true","true","true"
"05f0bc2b-eb7e-4143-b4cb-15cadd6fbde8","","","","","","","","","","","","","","","","","","48-52 Peisley Street, Orange NSW 2800","-33.2940538","149.1020681","","-33.2940538","149.1020681","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","1.17","2.086336","true","true","true","true","true"
"0628d087-d83d-4de9-8e2c-263d346053d8","","","","","","","","","","","","","","","","","","295-297 Merrylands Road (Corner Windsor Street), Merrylands NSW 2160","-33.8353294","150.9851817","","-33.8353294","150.9851817","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.2080865","true","true","true","true","true"
"062f6451-d3e5-475f-a832-dea227ddf031","","","","","","","","","","","","","","","","","","61-63 Cowper Wharf Rd (Cnr Dowling St), Woolloomooloo NSW 2011","-33.8696027","151.2213098","","-33.8696027","151.2213098","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","","0.05656854","true","true","true","true","true"
"063d2cc0-99b0-44da-bab4-d498056ce36d","","","","","","","","","","","","","","","","","","54 Alice Street, Moree NSW 2400","-29.4716539","149.8433324","","-29.4716539","149.8433324","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","4.23","3.343067","true","true","true","true","true"
"0641fcd6-3eec-4dbc-8dee-af65bf42b83d","","","","","","","","","","","","","","","","","","369-371 Pennant Hills Rd, Pennant Hills NSW 2120","-33.7387005","151.073646","","-33.7387005","151.073646","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.2061553","true","true","true","true","true"
"064e7ed0-2c40-43da-a6fd-989da2ce0e5b","","","","","","","","","","","","","","","","","","209-211 Rothery St, Bellambi NSW 2518","-34.3683389","150.910013","","-34.3683389","150.910013","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.11","0.01","true","true","true","true","true"
"06bf8bcb-baf9-437c-a7d8-a0b9fe491955","","","","","","","","","","","","","","","","","","142 Bay Rd, TOOWOON BAY NSW 2261","-33.3601664","151.4970077","","-33.3601664","151.4970077","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.1","0.0","true","true","true","true","true"
"06c567a5-5aab-452a-9039-4bc6e3ab1281","","","","","","","","","","","","","","","","","","13-15 Pacific Highway, GATESHEAD NSW 2290","-32.9874345","151.692402","","-32.9874345","151.692402","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.03605551","true","true","true","true","true"
"06f9bbb8-bfe6-4af4-87f7-90f80ea11875","","","","","","","","","","","","","","","","","","125 Princes Highway & Fowles Road, Dapto NSW 2530","-34.748284","150.8017934","","-34.748284","150.8017934","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.6427931","0.02828427","true","true","true","true","true"
"070cdcc9-3f41-4480-9e23-b1c962859ee9","","","","","","","","","","","","","","","","","","51-55 River Street, Maclean NSW 2463","-29.4460937","153.2054879","","-29.4460937","153.2054879","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","2.0975082","0.16","true","true","true","true","true"
"073c42bb-206e-4aec-a243-bea9e3ad516e","","","","","","","","","","","","","","","","","","210 High Street, Wauchope NSW 2446","-31.4666689","152.7193037","","-31.4666689","152.7193037","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","1.9425302","0.1612452","true","true","true","true","true"
"07690e64-c0ee-4dfa-aea5-855697532079","","","","","","","","","","","","","","","","","","274 Georges River Rd, Croydon Park NSW 2233","-33.8968278","151.1031893","","-33.8968278","151.1031893","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.0","0.07810249","true","true","true","true","true"
"0797bbaa-8706-4d5e-be0c-c4548c6b741e","","","","","","","","","","","","","","","","","","68 Goldsmith Street, Goulburn NSW 2580","-34.7505216","149.719228","","-34.7505216","149.719228","","Australia","","2016","06","2016-06-01","","","","","true","drt16110","0.59","0.9323089","true","true","true","true","true"
