POA,resident_population,seifa_score
2469,4257,878.4822391
2470,14557,882.6283205
2471,2582,903.1366421
2472,1735,907.6622141
2473,2973,894.3095358
2474,6390,915.0442628
2475,444,893.3043702
2476,1014,848.1310923
2477,11228,988.7625359
2478,26770,973.6490081
2479,4550,1027.857752
2480,44398,947.683481
2481,10708,1000.107258
2482,5750,946.5577337
2483,10036,951.2124594
2484,18073,935.1933298
2485,13362,905.290333
2486,30607,955.9748861
2487,11197,981.6875258
2488,3111,952.8469619
2489,6316,981.2772144
2490,687,984.7536773
2500,37029,994.5000043
2502,11715,837.8991883
2505,4902,880.6108693
2506,7434,879.8583837
2508,8652,1079.560949
2515,10388,1080.32106
2516,5678,1032.13405
2517,12933,1006.418442
2518,18646,940.212108
2519,16240,998.5956335
2525,10620,1048.367045
2526,15834,1005.76226
2527,20606,981.2433883
2528,23267,891.1106692
2529,22309,1009.775991
2530,29695,966.875586
2533,14942,1052.187008
2534,4987,1045.012357
2535,6996,1013.744485
2536,17486,938.4642591
2537,10917,945.7806029
2538,2248,991.6790769
2539,16529,932.650957
2540,41343,955.3584146
2541,24150,902.7052022
2545,1079,951.2685043
2546,8780,930.4371176
2548,6882,980.5441769
2549,3623,972.158278
2550,15695,951.2579049
2551,3453,883.458615
2555,454,913.2290318
2556,2390,1036.425847
2557,4000,1009.107109
2558,11120,985.8574814
2559,3801,626.7099617
2560,72211,948.3710561
2563,241,969.0535877
2564,13379,870.651608
2565,16591,984.7270986
2566,24048,964.6889557
2567,33942,1065.651364
2568,880,1059.280407
2569,1271,1047.794188
2570,28358,1058.929892
2571,10144,1048.726668
2572,3941,1016.386312
2573,4506,950.5446546
2574,5405,1006.723608
2575,14020,995.4277762
2576,12723,1060.914158
2577,14635,1005.996808
2578,2423,1006.08971
2579,3598,991.5751734
2580,27081,947.0447255
2581,1994,1038.576396
2582,11520,1052.164391
2583,4014,978.2770089
2584,462,986.1957944
2585,339,1005.777581
2586,2718,958.7149449
2587,2819,911.7121053
2588,307,1006.964015
2590,7123,930.0047514
2594,11467,938.0840815
2618,1059,1129.367849
2619,9426,1162.981086
2620,35778,1035.759398
2621,5376,1120.064031
2622,3260,1000.472658
2623,747,991.1419847
2625,470,1023.207347
2626,501,1028.374396
2627,4400,1049.693822
2628,1810,998.7031969
2629,585,994.4489481
2630,8326,965.9329607
2631,725,944.305841
2632,1660,942.9090423
2633,453,900.6832278
2640,33744,992.9268086
2641,14316,908.3726486
2642,5002,1010.83422
2643,2556,939.3516245
2644,2597,971.5016935
2645,299,851.7412922
2646,6773,938.6970807
2647,1907,952.8561184
2648,2502,911.3313838
2650,53956,986.5116695
2651,2218,972.2308963
2652,4849,988.2081346
2653,2338,926.2284419
2655,1056,970.5768455
2656,1304,975.1202379
2658,1441,940.1348899
2659,914,985.3705839
2660,1668,940.9698242
2661,338,1089.002632
2663,4577,892.7909296
2665,2330,955.8553774
2666,5042,934.8811506
2668,411,921.4921652
2669,1998,986.9750486
2671,3892,953.1078742
2672,1474,906.5722988
2675,1428,946.5192685
2680,22702,949.5971786
2681,1641,968.1860939
2700,4876,901.2755447
2701,2439,988.3664419
2702,613,893.1995906
2703,940,926.4109649
2705,9993,938.4766817
2706,1210,884.4017621
2707,1312,984.6019382
2710,9838,940.2978515
2711,3277,923.9460146
2712,1406,927.4255288
2713,3074,943.9733418
2714,2390,936.7585961
2715,1621,932.3048373
2716,1066,944.4329473
2717,1380,897.4728208
2720,7825,939.6157673
2721,350,960.0839717
2722,2977,927.5234152
2725,443,934.8891268
2726,304,1012.713503
2727,564,1006.577691
2729,1726,964.8247354
2730,1416,884.5523984
2731,5573,972.8445943
2732,1850,957.8557062
2733,586,931.3225392
2735,655,992.8021487
2736,400,970.4895488
2737,797,940.3311989
2738,1218,1032.682266
2739,1510,970.9714275
2745,26223,1072.059434
2747,34249,959.6643313
2748,1911,1064.696127
2749,15775,996.0525671
2750,42582,988.8961044
2752,4681,1034.057316
2753,17090,1002.011802
2754,5281,1016.938947
2756,32244,1003.214415
2757,877,1060.827952
2758,8551,1083.920618
2759,26506,1019.682994
2760,27050,903.861099
2761,27714,987.6811375
2762,3816,1014.784736
2763,29847,1054.33936
2765,14835,997.6588774
2766,14182,967.1316619
2767,19513,957.214912
2768,26459,1125.434847
2769,2932,1191.097161
2770,60382,828.5456283
2773,5854,1103.400797
2774,12636,1076.447852
2775,1543,947.5353544
2776,3983,1064.471272
2777,17788,1062.770454
2778,2432,1062.320659
2779,4532,1025.306207
2780,12922,972.9101024
2782,5940,1017.352788
2783,2884,989.5405567
2784,1208,1023.100878
2785,4570,990.1502471
2786,996,965.6003095
2787,4216,945.051178
2790,14800,912.7418619
2791,690,1005.236432
2792,494,958.2726984
2793,1131,927.3872301
2794,10005,913.6231925
2795,39873,986.4067212
2797,216,900.8162667
2798,2387,1038.922962
2799,3841,943.989722
2800,41356,979.2836304
2803,303,973.3917353
2804,2635,944.2239581
2805,295,899.2553473
2806,912,952.7954724
2807,259,754.4139377
2808,227,923.6983134
2809,320,951.1035144
2810,2973,934.3129196
2820,7884,895.5609993
2821,4936,923.986563
2823,1409,904.3631149
2824,2321,918.6145845
2825,2689,932.7517978
2827,3571,888.2424769
2828,579,846.6982732
2829,3181,887.1742019
2830,37757,964.9635305
2831,3891,974.0521525
2832,2749,892.0992155
2833,762,886.6248179
2834,2491,806.519233
2835,4257,956.7210552
2836,931,796.5796868
2839,1410,811.6759253
2840,2870,933.5994675
2842,449,811.445946
2843,1277,934.7403943
2844,1432,940.5463408
2845,1904,926.1957495
2846,370,922.8132755
2847,2308,902.0413997
2848,1722,831.5626876
2849,1597,964.8006461
2850,15935,965.5108337
2852,3360,937.452352
2864,1151,1039.214952
2865,731,930.4779591
2866,2790,983.7791794
2867,614,931.6161177
2868,520,864.2191343
2869,1478,896.3782548
2870,12211,940.8787868
2871,8889,934.3805778
